anchor,line,neg_response
"You don't want to say anything, don't say anything, but go. Tell your mom you're sad for her.","Just by being there, I'd be lying.",What?! My moms not gonna be here?!
"She wants to think, for a moment, that she had a happy family. So give her a gift lie!","Give me my cane, I'll go to the damn funeral.",Yes. She wants to be around family for Christmas.
"Give me my cane, I'll go to the damn funeral.",I said I'd go to the funeral. I didn't say when.,"Sweetie, are you sure you dont want to come with us to the funeral?"
This is why we prefer inside.,"You actually keep a flashlight that doesn't need batteries in the trunk? Next to the jacket, emergency water, nail clippers, tooth brush, space blanket","If outside is so good, why has mankind spent thousands of years trying to perfect inside?"
"You know, those aren't just my car keys. My House keys are on there too. Amber gave me that key chain.","No, she didn't.","Uh, did you notice your key chain?"
"Is pRobably responding to a Parkldish, pointless act of petulance.",The struggle to resist one's captors is nEver pointless. Vive la rsistance!,Ignore him. Hes just using humour to express how happy he is.
"Well, I hate to break it to you, Che, but simple delay won't work. Your mother will hold the funeral till we get there.","shakes head My father was a punctual Man, beholden to time. Two minutes late for dinner, you didn't eat. My mother would nEver disrespect him by starting the funeral late.","I know the timings bad, but I hate to be a nudge, but theres stuff that he has to sign that needs to be mailed by four."
"Yeah, yeah, you clearly have no issues to work through.","Come on, forget the keys. Call a locksmith. We'll go inside and play guess that smell with the truckers while we're waiting. Join me on the dark side.","All right, if youre gonna calmly make excellent points, then I dont know if I want to talk to you."
So he was a bastard. He was still your father. You're biologically programmed to have feelings for him.,"No, I'm not.",I didnt even know he was my father until after he was dead.
Feelings aren't rational. I know you have trouble with anything that can't be quantified and counted.,He's not my biological father. Wilson looks at him. I figured it out when I was 12.,"Im just saying, you pretend you dont, but you have feelings just like everybody else."
"Of course. You were a brilliant, socially isolated 12-year-old, and you create a parallel universe in which your life doesn't suck.","I look at the facts. First of all, he was deployed on training exercises off Okinawa during the time I had to be conceived.","No, just because Im living my life like it was 12 years ago doesnt mean Im delusional."
"And since you're 150 years old, air travel was impossible.",His second toe is longer than his big toe. Mine isn't.,My father wouldnt send you.
This is sad. You don't beliEve your mother screwed around,I have a distinctive red birthmark on my scalp that matches a certain friend of the family.,All that story does is make me feel bad for your mother.
"If you beliEved this story, you wouldn't be telling me about his birthmarks. You'd be telling me about the genetic testing you had done. House notices a police car ahead of them. And since you haven't mentioned it, obviously, you didn't do it. Because you don't want to House, what are you doing? House has jammed his cane against the accelerator. Get your get off the there's a cop!",Uh-oh.,"I think that Dwight is doing this whole thing to, um, get a sample of my babys DNA to prove hes the father."
I think we may need to call House again.,You lost track of your speed? I think that was Hitler's excuse. Lost track of the Jews. No one held him responsible.,"Guys, I think we should all ease up on Meredith."
"I'm not playing, House.",You were protecting me. Anybody in their right mind would have ratted me out.,"I dont want to play a game, Sheldon."
I'm just trying to speed things along. You are going to this funeral.,Make it fast. I don't want to miss the anal cavity search.,Do you want me to go to the funeral with you?
Looks like a mass in the pancreas.,Not to me. This is radio. And I want a full play-by-play.,"Wuh, how, how old are you?"
"Just get out of the car, sir.",Cyst?,"Hey dummy, get in the car!"
Large cyst. Something going on there?,"Wilson's getting arrested. How large? SUV sized, or mid-range sedan?","Okay, can someone please tell me whats going on here?"
Seriously? What'd you do?,"I'm obviously joking. If Wilson was getting handcuffed on the hood of his car, would I be carrying on a differential?",And Im really looking forward to working with you.
Diameter is at least eight centimeters.,whistles Is it in the tail or in the head?,Oh. All right. What is the circumference of your areolas?
"at House's window You too, sir. Out of the car.",ignoring him We've got a construction site. A steamroller is plowing,"Oh, ahh, go to the window."
This is a waste of time. He leaves.,"I need that phone call. I'm a doctor, and when someone tries to call you three times, it's code for pick up the damn phone before someone dies.","Leave him. He probably wont even notice that youre gone. Be with me, Monkey."
I'm sure there's other smart doctors.,You'd be surprised.,No. But she did give us some ideas on how to induce labor.
to House You told me you'd taken care of this.,I did.,Lets just say I took care of it.
First words you Ever said to me.,I took care of it. You must've screwed up somehow.,You know thats the first time you ever said that you love me.
It's a really old warrant. Isn't there a statute of limitations on this kind of thing?,It's suspended when you flee the state.,No because first they arrest the guy and then they try him.
I was fresh out of med school. I didn't know anybody at the convention.,"You heard the Man, Wilson. You don't have to explain.","Well, I for one, was amazed at how qualified everyone was."
"very angry I am not gonna sit here wasting time just so you can avoid your father's funeral! Costello looks at them, interested.",He's my father. I have the right to avoid his funeral.,"Michael, Im gonna get going."
Leave a Tender Moment is a good song.,It's a great song. He was out of line.,I dont have a sad song.
"So I I asked the Man to stop, politely.","Yeah, you yelled politely.","If you want him to stop, sometimes the easiest thing to do is just fake a laugh."
"I was polite the first couple of times, but courtesy made no impression on this ass. So I threw a bottle into the mirror, which successfully conveyed my message.",And smashed a ten-foot antique mirror. And set an example to two other patrons who threw shot glasses.,"Excuse me. Okay, Ill be honest with you. Ive just spent the last two hours imagining various scenarios in my head, trying to come up with some clever line to say to you. But then I finally realized youre a human being Im a human being. I could just say to you"
I think I have the picture. I assume you're the guy who was playing the song.,"No, I was the guy who bailed him out.","Sure, he was in your band?"
"This guy was a total stranger to you, and you bailed him out?",It was a boring convention. Had to have somebody to drink with.,You stopped and got him takeout?
"And there's the foundation of our entire friendship. If you hadn't been bored one weekend, it wouldn't Even exist.","Hey, there were 3,000 people at that convention. You were the one I thought wasn't boring. That says something.",But then you and I had some time together.
It also says something that you lied to me about getting the charges dropped!,I got a Lawyer. He cut a deal. You didn't call the guy? You have to show up at the arraignment. Everybody knows that.,Just go and find out what it says and who said it and report back to me.
reading a fax You can go.,What? He he's a fugitive from justice. That whole story was lies. He stabbed a Man.,"Fax, why dont you just send it over on a dinosaur?"
unlocking the handcuffs Louisiana doesn't want to pay to get you back.,Forget Louisiana. He was driving recklessly through your comatose village. Do they put lead in the jelly doughnuts here?,"Oh, yeah, How have we not talked about this already?"
They're not now. It's not the gallstones.,"Well, of course it's not gallstones. Who thought it was gallstones?","Umm, yeah, uhhuh, theyre implanted."
You said steamroller.,I also said construction site.,"That was your choice, not mine."
Gallstones could cause a pancreatic cyst.,"to Wilson Will you just turn around. The thing is two hours over already, and that's the third time we passed that colonial with the cross burning out front.","Oh, the Huntsman is good."
I'm not lost.,I'm not talking about what caused the cyst. I'm talking about what the cyst caused. Everything.,"No, Im lost too, I think she skipped a step."
"Cysts are symptoms, not diagnoses.","Unless it's a multiple cyst, with connections to other organs! like a steamroller.",That is not what I said.
Chase isn't gonna go groping around when she's got kidney failure. Bubbles.,Is that your new stripper name?,She already likes soap bubbles more than us.
"Yes. And also, we inject bubbles into the cyst and follow where they drift. If they end up in the other organs, we know you're right, cut it out, she's fine.",Bubbles is right. Go echo. He hangs up.,I thought your vagina was removed during your hysterectomy?
"I'm so glad you're here. Oh, it's a load off of my mind just to see you. She hugs House. Thank you, James.","Mom, how could you delay the funeral?",Thanks Rachel. Andand dont forget youyou can come visit her anytime you want.
"Honey, your dad is dead. He's not going to care. Do you know what you're going to say?",I don't know. Just let the minister or one of his buddies from the corps!,"Listen, Im sure that dad doesnt care."
"The lord is my shepherd, I shall not want!",quietly to Wilson I am not talking We were strangers who shared some geography 30 years ago.,"With respect, Your Grace, the free folk will never follow you, no matter what you do."
"Right, he had no influence on you at all. The father who was compulsive about punctuality.",His issue. Which I deliberately made not my issue.,Our father was more of a father.
"Thereby making it your issue. Compulsively showing up four hours late, ignoring discipline, ignoring rules.","looking around Oh, God, he's here.",That is an excellent question.
"Who's here? looks The one you're pretending is your father? Nice pick. He looks like Sean Connery. So back when you were devising this fantasy, did you tell your father Dad, I refuse to recognize your existence because I have chosen James Bond as my dad?",I used different words.,"Hold on, you actually want me to deceive your father with some sort of sham play acting and kissing?"
What? Hearing that your own son hates you so much he's replaced you in his mind? That's gotta suck. How did he take it?,I already told you. He didn't speak to me for a summer.,"I cant relate to that, my son hates my guts."
"at the podium It means more to me than than I can say to have all of you here today. And now, uh, our son Gregory would like to say a few words. House doesn't move. Greg?",There's a lot of people here today.,"If any man in this hall has other matters to set before His Grace, let him speak now or go forth and hold his silence."
"There's a lot of people here today. Including some from the corps. And I notice that Every one of them is either my father's rank or higher. And that doesn't surprise me. Because, if the test of a Man is how he treats those he has power over, it was a test my father failed. Wilson looks embarrassed. Blythe looks worried. This Man you're eager to pay homage to, he was incapable of admitting any point of view but his own. He punished failure, and he did not accept anything less than",He loved doing what he did.,Your father was an honorable man.
Put it back.,"Well, he's not gonna miss it.",Turn it over.
I'm done enabling. You can't Even let them put him in the ground without making it serve your agenda?,You really want to do this in front of Everybody? You wanna punish me or them?,You hate these fanatics as much as we do.
"How can I still feel surprise? You would take, Even this, a moment of real huMan grief, and turn it into a farce.","Oh, cut the crap. You enjoy what I do. I nEver had to force you. You like coming along for the ride.","Uh, nope. Nope. This isnt the surprise. Its surprising, um... because you didnt expect it. But you will... youll know it when you see it."
"Yes, that's why I'm cheering you on now.",This is about you needing to be prepared for the worst.,"And on a different, but not unrelated topic, based on your current efforts to buoy my spirits, do you truly believe that you were ever fit to be a cheer leader?"
Don't bring Amber into this.,"And you weren't ready. That makes you angry. The world sucks, and you didn't have time to brace yourself.","All right. Hey Rach, while youre in there, throw something on Alicia Mae."
What happened out there is your show!,You're scared to death of losing anyone that matters. So you dump the person who matters the most to you!,"Hey! So, did you watch the tape of my show?"
I'm not scared to death. I'm moving forward!,Because no one can take away from you what you no longer have.,"Well, I dont think there is anything to do."
"Oh, ho, ho, ho, ho. Your father's death is about you. Amber's death is about you. I can't imagine why someone wouldn't want to be your friend!","Admit it, you're angry and you're scared of losing me.","When I lost my own father, I didnt have any friends to help me through it."
"I'm not angry, I'm not scared.",Admit it.,Im not trembling.
I'm not afraid.,Admit it.,Im not worried.
I've lost people. It happens.,Admit it. Admit it!,"What about you, Craig, you lose anyone?"
"What are you, five? Stop repeating","Admit it. Admit it. Admit it. Admit it. Admit it. Admit it. Admit it. Come on, admit it. Admit it!",Its only one colour.
"Admit it. Admit it. Admit it. Admit it. Admit it. Admit it. Admit it. Come on, admit it. Admit it!",Still not boring.,I cant believe you wont just admit it!
Did you know I was gonna do that? Because I didn't know I was gonna do that.,I know you have trouble losing people.,Whoa. How did you know that I was gonna
"So I peeked at the return address. Diamond, Fairbairn.",Divorce attorneys. Your first wife had just served you with papers.,"Ugh, I guess it got sent to the billing address as opposed to the shipping address."
Did you know that when you bailed me out? Were you! doing something nice for me?,What did I say about being boring? He picks up his phone and starts dialing.,"Yknow what? Youre right, Im sorry. Actually you were a big help tonight. Yeah, and thanks for putting my grandmother in the cab and making sure she got to the hotel safely."
Hello? It's House. turns on speakerphone,How'd the bubble test go?,Oh the phone!
House is thinking House?,The images aren't grainy.,"Howard, you know were saving up for a house."
They sure look grainy.,I've seen pictures of you where you look tall.,They are awfully boxy.
Atrial myxoma is more likely.,MRI for a better view. And call me back and tell me you're embarrassed because my eyesight is better 500 miles away. I need a phone number.,"Come on, come home with us and tomorrow Ill, Ill take you to Legoland."
MRI for a better view. And call me back and tell me you're embarrassed because my eyesight is better 500 miles away. I need a phone number.,"I'm a doctor in New Jersey, treating one of your clients. A young Woman looking for her biological parents.","Hi! Yeah, Im calling on behalf of Monica Gellers eye, and is um, is Richard Burke in today. Hes out of town, but does she want to see the oncall doctor?"
"You know, you could just wait for the MRI to have your curiosity satisfied.",What person who is nothing like me are you saying that to?,"You know, when I tore my scrote, I was, uh."
What person who is nothing like me are you saying that to?,"Did the parents look tan? The disease she has is genetic, which means they should have it too.","Oh, all she said was that I remind her too much of somebody."
They don't look more tan than anyone else.,Discolored teeth?,"I know, but look at me all tan."
They're farmers the village doesn't Even have a dentist.,Right. Thanks.,Little village people.
"But if it matters, I'm not convinced they were her parents.",Why not?,"Fifty percent of marriages end in divorce, so."
"Because they said they have no daughter. The Man was adaMant, and the Woman seemed confused and frightened.",Thank you. He hangs up and turns to Wilson. Differential. Say you're a middle-aged Parknese Woman!,"Rick, why did you lie to your daughter?"
Say you're a middle-aged Parknese Woman! Fine.,Say it.,Im not gonna date a 55yearold woman.
I'm a middle-aged Parknese Woman.,"Girl comes to you, says that she's your long-lost daughter. Why would you be frightened?",Male. Caucasian. Forties. Black hair. Facial type marsupial.
I'm frightened because she's a threat? Maybe she knows something?,She hasn't seen you since she was an infant.,Youre afraid of her.
Maybe an inheritance issue.,They're peasants.,Perhaps theres some arrangement?
Her very presence is a threat. She what year was she born?,'83.,Its not? When was she born?
She's not supposed to be alive. Parkna introduced the one-Parkld policy in 1979. Say they didn't want a girl. They tried to kill her.,Maybe the baby doesn't die. Maybe the father panics or regrets it. Takes the baby to an orphanage. Maybe he doesn't tell his wife.,"Hey, buddy. Hows my favorite dog, huh? Hows my favorite dog? Youre subdued. Did you give him a beer?"
Who freaks out like she's seen a ghost 25 years later when the girl shows up.,Why does attempted murder from 25 years ago suddenly become relevant to her health now?,Why would the little girl creep you out?
Maybe they gave her something toxic. It would have to be fat-soluble.,"This is fun, isn't it?","Woah, hey, yo."
"This is fun, isn't it?",Let me see the MRI.,"Fun? Fun, you think this is fun?"
She started vomiting as soon as we started the scan.,Then let her vomit through the MRI.,Im trying to save you from yourself!
I already had this conversation with Wilson just go with it. Poison?,Buddha wouldn't make it worse.,"Well, I suppose I could poison Kripke."
"Maybe the weight stressed her back, which",Makes sense if she's nEver lifted anything in her life.,"Well, you broke up with Julie Grath!"
She actually didn't get sick till she tried lifting it that second time. I'm guessing the weight changed.,epiphany Anybody have Taub's pager number?,hmmmm... Mom said she gained like fifteen pounds.
epiphany Anybody have Taub's pager number? What's up?,"Maybe give him a call. If he tosses that switch on the MRI, she's dead. X-ray her brain.","Oookay. Let me see if I have his cell. Is this the only reason you are calling, Jan? Or does somebody miss me?"
"Maybe give him a call. If he tosses that switch on the MRI, she's dead. X-ray her brain.","Pins. Push them through the soft fontanelle of an infant, you skewer the brain, and the hair hides the entry wounds. It's the perfect crime.","Ha! See, I knew, I knew youd get it on the first guess. Isnt it cool! Its an apothecary table."
What changed at the temple?,Same thing that changed in the MRI.,I meant a Hindu temple.
I hear your Patient's gonna be all right.,Is that why you're here? A colleague checking up on a Patient?,"So yknow Ross its funny cause, you look familiar to me too."
Something goin' on?,"I'm celebrating. He hands Wilson a sheet of paper from his desk. Wilson looks at it, then back at House. My mom hated him too.","Hes right, if you quit this job, you then have motivation to go after a job you really want."
"Your DNA test showed no match? That's incredible. At the age of 12, you actually figured out your father wasn't your birth father? That's what you wanted, wasn't it? Why should it depress you?",It doesn't depress me. Doesn't make any difference at all. That's what depresses me.,"I just think that this was a really bad sign, ya know."
"Well, I guess nobody gets to choose who their parents are. I'm not Even sure anymore if we get to choose who our friends are. pause I spoke with Cuddy. She hasn't filled my position yet.",If you're coming back just because you're attracted to the shine of my neediness! Wilson smiles slightly I'd be okay with that.,"I wish I knew who my birth mother was, so she could just tell me who to choose."
"I'm coming back because you're right. That strange, annoying trip we just took was the most fun I've had since Amber died.",You hungry? Wilson nods. House gets up and they head for the door. House stops. Wilson.,"And uh, Rachel, glad to have you back."
Wilson. Yeah?,My dad's dead.,What about Lee Meriwether?
I don't know. House.,putting up a finger to stop her Eh.,The box says kitchen.
walking toward him I have a case I think you might be interested in.,turning quickly and heading out of his office Not now.,Aye. Ill take you to him.
A 26-year-old Woman had a tonic clonic seizure.,What about me speeding away says to you let's chat?,Lets get out of here.
"History of fatigue, and two years ago she had a retinal vein occlusion.",She's diabetic.,"Thats a bit childish, isnt it?"
"No, she's not. And she has no history of hypertension. She holds out the file to House, which he ignores",approaParkng Wilson's office It can wait.,Actually were out of the lobster ravioli.
approaParkng Wilson's office It can wait.,I knew I should've set up a video camera. Stay there.,"Youve reached Senator Robert Lipton, please leave a message."
I knew I should've set up a video camera. Stay there.,"Oh, my goodness. I played a practical joke on my best friend, and he's badly injured.","Ok. Oh God. Get the camera, its in the diaper bag."
"Oh, my goodness. I played a practical joke on my best friend, and he's badly injured.",I wish I had learned this valuable lesson earlier. I was waiting by my window for an hour. Why are you late?,"Well, its a long story, but umm I broke Joeys chair"
I had a breakfast meeting at Mickey's Diner with the Mercy people to tell them! Wilson sees a donut on a plate and a carton of milk behind the bookshelf I'm coming back to work here. He pulls the plate and the milk toward himself Sorry if it interfered with your plan to maim me. pause Donut's a nice touch. He takes a bite of the donut,turning and opening the door to leave It's my way of saying welcome back. House leaves. Cameron is still waiting in the hallway,"I know a lot of you are upset with me for endangering Merediths life by hitting her, with my car."
The seizure could be the result of dehydration or something neurological. She holds out the file again which House takes this time,looking at the file Or the ecstasy you found in her system.,"So you heard Schofield is considering a switch, and you want mercy?"
"According to Dr. Hadley, the Patient took the drugs about five hours before the seizure, so!",obviously curious What does Thirteen know about it?,What is wrong with you?
"Uh, apparently she was with the Patient last night.",looking at the file again At 300 AM? Cameron shrugs,And where is she this evening?
looking at the file again At 300 AM? Cameron shrugs,"lecherously Oh, yeah! PentHouse forum meets medical mystery. Maybe there is a God. He heads back to his office","Jim, I want you to go find Robert just be where he is in case that email goes out at five."
"lecherously Oh, yeah! PentHouse forum meets medical mystery. Maybe there is a God. He heads back to his office",Empty transient sex?,"Oh, dear Lord."
Not diagnostically relevant.,Depends what we're trying to diagnose. It's how steep of a spiral you're on.,Not a good idea.
Also not diagnostically relevant. Retinal vein occlusion was fixed. Her doctor said it was a venous anomaly.,Is he in this room?,"Oh, thats nice."
She parties till 300 AM. That's why she's always tired.,Yet you seem fine.,"Oh, sure, she was probably up all night, excited about the party she knows is happening."
Makes sense. Bone marrow's in overdrive. Too Many platelets. to Thirteen Sorry.,"Thirteen, go stick a needle in your girlfriend's pelvis. And no, that one wasn't a metaphor. Suck out some marrow. That one was.","Dwight! Stop it! Can you help me please, Im being crushed."
"Thirteen, go stick a needle in your girlfriend's pelvis. And no, that one wasn't a metaphor. Suck out some marrow. That one was.",I like to watch. He follows her out the door,"Heres one. It was dark, warm, wet. A sudden burst of light. An intense pressure like Id never felt before. Father, dressed in white, pulls me forward. Mother bites the cord."
I can handle this alone.,"You've already handled it. That's why you need a chaperone. Of course, I'm a very permissive, understanding chaperone. So feel free to ignore me.",Maybe its the sound of Ross climbing into my brain and stealing my thoughts.
"You've already handled it. That's why you need a chaperone. Of course, I'm a very permissive, understanding chaperone. So feel free to ignore me.","You know, if you're in the mood to start kissing, or groping, or showering.","Wow. Pouting and running away actually worked. I must say, that may not be a lesson you want to reinforce with me. So, um, what is the solution?"
You're Dr. House?,I assume my name came up last night in the form of a moan.,"so I talked to the scout, it looks good."
"WhatEver you think we did, we we did. And then some.",Lights on or off?,"Well yknow, we did other stuff too."
Do you have a medical rationalization for that one?,Light sensitivity.,Schrute. Mister Schrute.
Light sensitivity. On.,"Figured she had more shame than that. Did she talk dirty, or did you rely on vague hand signals? House is writing something on a clipboard","Oh! I see what happened. Its because I was trying to repel you. Right? Believe me, youd feel a lot different if I turned it on."
"She's, uh, pretty direct about what she wants.",I'm learning so much.,"Oh, she does want to."
I'm learning so much.,"Okay, score the score. Scale of one to ten.",I am learning so much from you.
wincing from the pain SEven.,holding up a piece of paper with a large number 7 written on it Finally got one right. Thirteen looks thoroughly disgusted,"Well, you know what, its kind of hard for me to talk about it."
You want to investigate him because he ate a donut?,He claimed he had a morning meeting at Mickey's Diner.,I think I left a donut up here.
What do you think you'll find out?,"I'm worried that he might be, a spy.",to investigate the crime scene.
He's been gone four months. You're worried the friendship has changed.,I'm just not sure if he's working for Hirohito or the New England Patriots.,"Ahh, oh thats OK, I mean, hes probably got, you know, parties to go to and stuff."
You played a practical joke on him. He didn't laugh.,"I need something to lord over him, a lie","Umm, he said he thought I was funny."
He didn't try to retaliate. He moralized.,He always moralized.,Retaliation. Tit for tit.
He always moralized and got Even. He hasn't fired back.,Things always change.,Thats it? Did he give any reason as to why he came to this moral epiphany?
And that sucks.,Yeah. Find out where he was. House gets up and leaves,"Oh yeah, that sounds great."
We had to use paddles to stabilize the Patient's heart.,"Eye issue, brain issue, now a heart issue. Sounds like a real case to me.","My God, when hes on the table and they use the paddles on him."
"Yeah, I get it. I was wrong. Can we move on?","You're just upset! Because the whole time she was with you, she was thinking of my huge, thRobbing! Diagnostic skills. Drugs would explain Everything.","Thank you Phoebe, that is very, very generous."
"This morning, you rejected drugs.",That's when I thought that Thirteen was right and was just jerking her around. Cardiac arrest means she could be a serious user.,"Yeah, uh, I just, I figured Id get that first relapse out of the way."
"That means that something she did at my place set this off. Either she brought drugs in, or she grabbed something from my medicine cabinet. And that means my place needs to be searched. Now, I'd be happy to do that myself, but unfortunately that would be far less titillating for House, so he's about to come up with some convoluted medical reason why I have to stay here while he goes through my stuff.",Patient's dad had bypass surgery. Means she's a candidate for atherosclerosis. She needs an ultrasound. That was much less convoluted than what you just said.,Shes enjoying living with you and she didnt want it to end early.
"I'm not giving you my keys. If you want to do this, I'm going.",Who could pick a lock?,"Okay, Im gonna need to search your car."
I'll go. Make sure he doesn't steal any underwear.,You're a disgrace to your stereotype. Move over.,All right. You can go. Give him his gum.
Think you can pick a lock faster than me?,No need to pick. House shows Foreman a key and uses it to unlock the door,When did you learn how to pick locks?
Nice. Steal from your employees.,NEver. I had my dick make keys when I hired him to dick up the team.,Screw corporate! They probably stole the idea anyway.
NEver. I had my dick make keys when I hired him to dick up the team.,Always imagined she'd have a sex swing in the living room.,You hired your husband a hooker?
Give me my key.,Don't have your key.,I have a copy of your key.
You expect me to beliEve that you hired Lucas to investigate Everyone except for me?,Waste of money.,Do you think that after what you did to Han were going to trust you?
I already know Everything about you.,pointing with his cane Thirteen had her purse. That's gotta be the Patient's. Check it for drugs. I call shotgun on the bedroom.,"I cannot believe that after ten years, you do not know ONE thing about me."
You know that I stole a car when I was a teenager. You know that my mom has Alzheimer's. You know nothing else. Foreman has put on latex gloves and is searParkng the purse,Want me to have you investigated? When did you get so needy?,Theres a security guard coming by.
Purse is clean.,Last night wasn't the first time that Thirteen brought home some strange.,"Im sorry. Could you, could you try it without the purse?"
You found her diary,No toys.,Whoa whoa whoa whoa!
"No toys. You sleep with the same person over and over, that's when you need accessories. First time is plenty exciting on its own. He takes something from the drawer Unless!",You think an asthma inhaler could be used as a sex toy? He gets up of the bed and gives the inhaler a squirt,"Now that youre a couple, we dont get two presents from you guys?"
There are ways of getting to know people without committing felonies.,People interest me. Conversations don't.,By stalking them?
both are smiling Like Thirteen.,to Thirteen Brown recluse. Found it at your apartment. Their venom can cause seizures and heart pRoblems. Unless the ultrasound showed anything,He killed his king.
No. What room did you find it in?,"Bathroom. Nice bidet, by the way. Very refreshing.","No I left it on my night table your night table, by the lamp."
I don't have a bidet.,Oh. Spider's not the only interesting thing I found. He pulls the inhaler out of his jacket pocket,Does that mean theres no toilet paper in the bathroom?
You moved? Who cares?,He doesn't.,Damnit!! Did you move?!
Spider bite doesn't explain anything unless the Patient was actually bitten by a spider. He stands up I'll do the exam.,Don't be ridiculous. That would be inappropriate. It'd be better if a Woman gropes her. There's no sexual tension that way. Thirteen stands to go do the exam,No dont tear out your eyes!
"Blood test confirms low potassium lEvels. Explains the numbness in her hip. It's not good, but I think we've got time for at least one or two comments about my personal life.",Which you just wasted with that comment about my comments. Low potassium means her heart pRoblem was a symptom of a kidney pRoblem. What caused the kidney pRoblem?,"I have my book on business, Somehow I Manage."
Could be IgA nephropathy.,Not without blood in the urine.,Make it stop!
Not without blood in the urine. PSAGN?,Not with normal blood pressure.,"No, I dont think its possible."
"Renal tubular acidosis. Her kidney's don't filter acid out of the blood. Excess acid drives down potassium, causes kidney calcifications.","If it's RTA, all she needs is sodium bicarbonate for the acid and surgery to remove the calcifications.","Yeah, I think I know what youre talking about."
"If it's RTA, all she needs is sodium bicarbonate for the acid and surgery to remove the calcifications. CT her kidneys. If you find calcifications, we have our diagnosis. House continues on down the corridor, Thirteen heads back to Spencer's room",What's he doing now?,"Okay, so what is solder?"
He's playing that carjacking video game. He'd get a lot farther if he didn't stop at all the red lights.,Maybe he was doing something he thinks I'll mock him for.,"Theres Andy, hes in his car."
Maybe he was doing something he thinks I'll mock him for. Like!,Just about anything.,"Maybe he found you, um, a bit much."
You don't think it's that.,I don't think it's just about anything?,I dont think that this is
"You don't think it's about anything trivial. If you weren't worried, you wouldn't be sitting in my car.",Maybe he's seeing a shrink.,Then why are you talking?
Maybe he's seeing a shrink.,Doesn't matter if it isn't.,Maybe hes going to church.
The breathing pRoblem started after we fixed her kidney pRoblem. Means the RTA isn't the underlying cause.,Where's Thirteen?,"Oh, the springtime thinks that its the best."
Traffic's bad. She's pRobably just,Not here.,Because youre in the right lane behind a bus and you wont go around it?
"It's not her lungs. No masses, no infiltrates.","Her lungs are working, but she still can't breathe.",The bll is drrbing!
That could signal autoimmune or some kind of dystrophy as the underlying cause.,There's only one way to find out if her airway failed.,Im the hell person whose office this is!
Just spoke to my brother.,"And by brother, you mean?",My brother is dead.
I mean my parents' other son.,Wow. Same dad.,He shares no blood with me.
"Got a call last week from your PI. You lied. You did have me investigated. You've been taunting the team with what you've learned, but you nEver came after me. grinning Means you couldn't find anything.",You're right.,"I know that you went to corporate this morning, and I know that you lied about it."
grinning Means you couldn't find anything. You're right.,"That's because you haven't done anything stupid, spontaneous, or Even vaguely interesting since you were 17. And that's just sad. The elevator door closes",You saw the ship sail away?
to House I found her in the clinic giving herself IV fluids.,At least you could've let her finish. She looks terrible.,She popped by to borrow a cup of mad cow disease.
She has a fresh nightclub stamp on her wrist. She's in no condition to practice.,"Unless this is a prelude to an actual spanking, there's no reason for me to be","She really tuckered herself out at the park, huh?"
But I can suspend you until you do.,to Cuddy Because she went to a nightclub in her free time?,"What? What do you mean, suspend me?"
"to Cuddy Because she went to a nightclub in her free time? Or because she had sex in her free time? Patient was undergoing routine surgery for RTA. Didn't need Thirteen here for that. And I don't need you making my employees punch a clock or pee in a cup. to Thirteen, nodding his head toward the door. Let's go. Thirteen hesitates",opening the door Come on. Cuddy looks stunned,"Fifteens the point, the point is fifteen."
as they walk into the clinic area Thank you.,"By the way, they stop the surgery was not routine, Patient stopped breathing and you missed a differential. You're fired.","Youre welcome, oh, youre going to step right, okay, Ill."
What? You just defended me.,"No, I just prEvented you from getting a drug test. PRobably saved your career. I'm already taking responsibility for one doctor with a drug habit. He pops a Vicodin","All right, Ill stop trying to protect you and you stop trying to undermine me."
I don't have a drug habit.,The slutty party girl is fun till she pukes on your shoes. Then she's just a pain in the ass. He leaves Thirteen looking confused,"Why? When I look in the mirror, I dont like the face that looks back."
The slutty party girl is fun till she pukes on your shoes. Then she's just a pain in the ass. He leaves Thirteen looking confused,I haven't sat on this couch for four months. It remembers my cheeks. I miss this.,"I missed most of the party Charlies a girl, right?"
Me too. Me trying to work. You interrupting.,"Oh, come on. Your Patients can wait five minutes. Get me caught up. Come on, what did you do? Travel? Did you get a new hobby? Did you meet someone?","Oh, uhm... I have to work too. Yeah, Im stuck at the office all day."
"Actually, yes. I sort of, started, dating someone.",Great. What does she do? Is she! an actress?,"Well, have you been involved with someone where you havent broken up?"
No. Why would you think that?,I just figured you'd want something a little more! Exciting!,"No, but maybe the reason"
"She's not! You're gonna find out anyway because you're gonna meet her. She's! a prostitute. Used to be. She made some mistakes. Single mom, had some drug issues. But! she's so smart. She wants to go to law school. And! I told her I'd help her with tuition.",How long have you known her?,"No, shes a hooker."
I knew you'd be like this.,I asked a question.,I knew youd be here!
House! You are a drug addict. You go to prostitutes. You can't be judgmental.,And yet.,Fine. You invited your drug dealer brother to stay with us for God knows how long and didnt bother to ask me first.
"Please, don't do this to me. I was hurting, and I wanted to feel good. I didn't expect it! to go this way. I! Amber! Said that she wanted me to move on. That she wanted me to! Be happy. And Debbie, makes me happy.","If you're happy, I'm! He gets up suddenly and disappears out the door, leaving Wilson looking puzzled",Shes leaving because you really want to be with me.
"Lung cysts plus all her other symptoms could be Amyloidosis, which we can Manage. Or pulmonary fibrosis which",Thank you. My employees can take care of it from here. He sits down behind his desk We need to biopsy the cysts.,Im not gonna lie.
